distribution,chi_square,chi_pValue,KS_stat,KS_pValue,fit_params
genFit,19.28,0.439,0.02,0.927,gaussian_kde
lognorm,37.09,0.002,0.04,0.143,"(0.030443941854103762, -32.84806472455031, 32.83270886725067)"
