distribution,chi_square,chi_pValue,KS_stat,KS_pValue,fit_params
genFit,10.24,0.947,0.03,0.941,gaussian_kde
lognorm,16.24,0.437,0.06,0.307,"(0.006370273823462046, -157.15479013798523, 157.1496753084786)"
