distribution,chi_square,chi_pValue,KS_stat,KS_pValue,fit_params
genFit,19.18,0.445,0.04,0.812,gaussian_kde
lognorm,30.49,0.016,0.07,0.186,"(0.005132764010242444, -194.6209533728844, 194.61307305581556)"
