distribution,chi_square,chi_pValue,KS_stat,KS_pValue,fit_params
genFit,6.16,0.998,0.03,0.979,gaussian_kde
lognorm,18.92,0.273,0.05,0.445,"(0.005922708266005322, -169.04083022597325, 169.03696256876316)"
