distribution,chi_square,chi_pValue,KS_stat,KS_pValue,fit_params
genFit,13.84,0.793,0.03,0.948,gaussian_kde
lognorm,26.01,0.054,0.06,0.477,"(0.005770308973921835, -173.1135390499778, 173.11144360735003)"
