distribution,chi_square,chi_pValue,KS_stat,KS_pValue,fit_params
genFit,15.09,0.717,0.03,0.963,gaussian_kde
lognorm,30.73,0.015,0.06,0.203,"(0.006461896202287846, -154.67743836021373, 154.67637479326726)"
